dataset	ID	adj.P.Val	logFC	symbol	abs_logFC	direction
GSE62254	210654_at	0.00321	-0.0673	TNFRSF10D	0.0673	Down
GSE62254	229181_s_at	0.00457	-0.104	HAUS2	0.104	Down
GSE62254	210163_at	0.00457	-0.364	CXCL11	0.364	Down
GSE62254	209249_s_at	0.00408	-0.081	GHITM	0.081	Down
GSE62254	244038_at	0.00451	-0.0958	WDR89	0.0958	Down
GSE62254	217496_s_at	0.00459	-0.096	IDE	0.096	Down
GSE62254	219084_at	0.00439	-0.0729	NSD1	0.0729	Down
GSE62254	210734_x_at	0.00455	-0.0916	MAX	0.0916	Down
GSE62254	211849_s_at	0.00359	-0.11	RNGTT	0.11	Down
GSE62254	201911_s_at	0.00457	0.16	FARP1	0.16	Up
GSE62254	218882_s_at	0.00448	-0.0906	WDR3	0.0906	Down
GSE62254	231938_at	0.00318	0.101	SGO1	0.101	Up
GSE62254	1553338_at	0.00437	-0.124	SDE2	0.124	Down
GSE62254	208315_x_at	0.0046	-0.0687	TRAF3	0.0687	Down
GSE62254	204506_at	0.00456	-0.0748	PPP3R1	0.0748	Down
GSE62254	232760_at	0.00234	0.199	TEX15	0.199	Up
GSE62254	231839_at	0.00453	-0.092	PDE12	0.092	Down
GSE62254	227012_at	0.0046	-0.113	SLC25A40	0.113	Down
GSE62254	214647_s_at	0.00409	-0.146	HFE	0.146	Down
GSE62254	213083_at	0.00452	0.0976	SLC35D2	0.0976	Up
GSE62254	217001_x_at	0.00422	-0.065	HLA-DOA	0.065	Down
GSE62254	1554883_a_at	0.00428	-0.147	ERCC8	0.147	Down
GSE62254	229336_at	0.00463	0.0849	ST3GAL2	0.0849	Up
GSE62254	204039_at	0.00468	0.238	CEBPA	0.238	Up
GSE62254	203757_s_at	0.00441	0.454	CEACAM6	0.454	Up
GSE62254	214853_s_at	0.00437	0.0907	SHC1	0.0907	Up
GSE62254	64942_at	0.00468	0.0935	GPR153	0.0935	Up
GSE62254	225267_at	0.00458	-0.0815	KPNA4	0.0815	Down
GSE62254	1566115_at	0.00266	0.113		0.113	Up
GSE62254	243759_at	0.0029	0.078	SCAF4	0.078	Up
GSE62254	229936_at	0.00403	0.124	GFRA3	0.124	Up
GSE62254	227262_at	0.00469	-0.0882	HAPLN3	0.0882	Down
GSE62254	238506_at	0.00308	-0.126	LRRC58	0.126	Down
GSE62254	219493_at	0.00473	-0.141	SHCBP1	0.141	Down
GSE62254	218723_s_at	0.00469	0.158	RGCC	0.158	Up
GSE62254	208025_s_at	0.00431	0.356	HMGA2	0.356	Up
GSE62254	225906_at	0.00455	0.0829	GATSL2	0.0829	Up
GSE62254	227438_at	0.00477	-0.108	ALPK1	0.108	Down
GSE62254	234989_at	0.00476	0.277	MIR612///NEAT1	0.277	Up
GSE62254	230291_s_at	0.00403	0.146		0.146	Up
GSE62254	238589_s_at	0.00435	0.104		0.104	Up
GSE62254	230711_at	0.00334	0.109		0.109	Up
GSE62254	208979_at	0.00463	0.0888	NCOA6	0.0888	Up
GSE62254	230592_at	0.00473	-0.0787	NSL1	0.0787	Down
GSE62254	202371_at	0.00467	0.131	TCEAL4	0.131	Up
GSE62254	204072_s_at	0.00478	0.205	FRY	0.205	Up
GSE62254	227569_at	0.00471	0.0982	LNX2	0.0982	Up
GSE62254	242736_at	0.0033	0.138		0.138	Up
GSE62254	205681_at	0.00473	-0.333	BCL2A1	0.333	Down
GSE62254	211564_s_at	0.00429	0.143	PDLIM4	0.143	Up
GSE62254	218510_x_at	0.00484	0.278	FAM134B	0.278	Up
GSE62254	213797_at	0.00483	-0.323	RSAD2	0.323	Down
GSE62254	229178_at	0.00299	0.105	PRTG	0.105	Up
GSE62254	204065_at	0.00454	0.083	CHST10	0.083	Up
GSE62254	212447_at	0.00477	0.0747	KBTBD2	0.0747	Up
GSE62254	219220_x_at	0.00463	-0.0774	MRPS22	0.0774	Down
GSE62254	228790_at	0.00363	0.16	FAM110B	0.16	Up
GSE62254	223448_x_at	0.00477	-0.0741	MRPS22	0.0741	Down
GSE62254	35147_at	0.00483	0.121	MCF2L	0.121	Up
GSE62254	239442_at	0.00346	0.105	CEP68	0.105	Up
GSE62254	36554_at	0.00468	-0.133	ASMTL	0.133	Down
GSE62254	232611_at	0.00405	-0.0966	GOLGA2P5	0.0966	Down
GSE62254	205330_at	0.00402	0.18	MN1	0.18	Up
GSE62254	242997_at	0.00427	-0.0664		0.0664	Down
GSE62254	222504_s_at	0.00488	-0.094	EMC8	0.094	Down
GSE62254	217497_at	0.00474	-0.197	TYMP	0.197	Down
GSE62254	242500_at	0.00281	0.065		0.065	Up
GSE62254	201575_at	0.00462	-0.0523	SNW1	0.0523	Down
GSE62254	241988_x_at	0.00294	0.0976		0.0976	Up
GSE62254	212444_at	0.00454	-0.181	GPRC5A	0.181	Down
GSE62254	215259_s_at	0.00368	-0.0947	CADM4	0.0947	Down
GSE62254	240315_at	0.00403	0.0768		0.0768	Up
GSE62254	222885_at	0.00488	0.163	EMCN	0.163	Up
GSE62254	223580_at	0.00492	0.126	SPSB2	0.126	Up
GSE62254	230457_at	0.00349	0.0511	TMEM242	0.0511	Up
GSE62254	208553_at	0.00388	-0.102	HIST1H1E	0.102	Down
GSE62254	220060_s_at	0.00468	-0.17	PARPBP	0.17	Down
GSE62254	235004_at	0.00336	0.183	RBM24	0.183	Up
GSE62254	219857_at	0.00496	-0.307	PLEKHS1	0.307	Down
GSE62254	1569785_at	0.00279	0.0514	LOC101927943	0.0514	Up
GSE62254	201970_s_at	0.0048	-0.0921	NASP	0.0921	Down
GSE62254	211863_x_at	0.00409	-0.0743	HFE	0.0743	Down
GSE62254	33323_r_at	0.00431	-0.155	SFN	0.155	Down
GSE62254	218136_s_at	0.00468	-0.109	SLC25A37	0.109	Down
GSE62254	1562460_at	0.00488	-0.0786	CNDP2	0.0786	Down
GSE62254	217591_at	0.00468	0.177	SKIL	0.177	Up
GSE62254	225746_at	0.00397	0.138	RAB11FIP4	0.138	Up
GSE62254	211241_at	0.00488	-0.084	ANXA2P3	0.084	Down
GSE62254	36475_at	0.00503	-0.0981	GCAT	0.0981	Down
GSE62254	206702_at	0.00459	0.129	TEK	0.129	Up
GSE62254	235697_at	0.00416	-0.0981	ZNF544	0.0981	Down
GSE62254	209737_at	0.00409	0.162	MAGI2	0.162	Up
GSE62254	226448_at	0.00504	0.147	MIR1182///FAM89A	0.147	Up
GSE62254	227729_at	0.0042	0.172		0.172	Up
GSE62254	228274_at	0.00505	-0.112	SDSL	0.112	Down
GSE62254	232036_at	0.00447	-0.0789	KLC1	0.0789	Down
GSE62254	224279_s_at	0.00359	0.107	CABYR	0.107	Up
GSE62254	225001_at	0.00505	0.125	RAB3D	0.125	Up
GSE62254	238482_at	0.00373	0.102	KLF7	0.102	Up
GSE62254	225912_at	0.005	0.155	TP53INP1	0.155	Up
GSE62254	231578_at	0.00334	-0.114	GBP1	0.114	Down
GSE62254	212028_at	0.00503	-0.0674	RBM25	0.0674	Down
GSE62254	201987_at	0.00474	0.0779	MED13	0.0779	Up
GSE62254	214038_at	0.00505	-0.328	CCL8	0.328	Down
GSE62254	1555630_a_at	0.00507	0.262	NARR///RAB34	0.262	Up
GSE62254	1554623_x_at	0.00332	-0.0565	DGKE	0.0565	Down
GSE62254	224843_at	0.00474	-0.103	SLAIN2	0.103	Down
GSE62254	209947_at	0.00506	-0.069	UBAP2L	0.069	Down
GSE62254	203040_s_at	0.00505	-0.103	HMBS	0.103	Down
GSE62254	214793_at	0.00402	-0.0632	DUSP7	0.0632	Down
GSE62254	1552798_a_at	0.00451	-0.148	TLR4	0.148	Down
GSE62254	225923_at	0.0051	0.135	VAPB	0.135	Up
GSE62254	229487_at	0.00412	0.147	EBF1	0.147	Up
GSE62254	213599_at	0.00508	-0.16	OIP5	0.16	Down
GSE62254	224611_s_at	0.00511	0.0969	DNAJC5	0.0969	Up
GSE62254	221588_x_at	0.00513	-0.133	ALDH6A1	0.133	Down
GSE62254	219754_at	0.00506	0.0965	RBM41	0.0965	Up
GSE62254	239757_at	0.00476	0.177	ZFAND6	0.177	Up
GSE62254	208956_x_at	0.00443	-0.0939	DUT	0.0939	Down
GSE62254	226878_at	0.00513	-0.24	HLA-DOA	0.24	Down
GSE62254	1559481_at	0.00321	0.0709	CHIC1	0.0709	Up
GSE62254	225609_at	0.00504	-0.118	GSR	0.118	Down
GSE62254	200773_x_at	0.00397	-0.0334	PTMA	0.0334	Down
GSE62254	215100_at	0.00503	0.205	ADTRP	0.205	Up
GSE62254	202088_at	0.00473	-0.121	SLC39A6	0.121	Down
GSE62254	204516_at	0.00517	0.103	ATXN7	0.103	Up
GSE62254	206093_x_at	0.0051	0.107	TNXB///TNXA	0.107	Up
GSE62254	228882_at	0.00362	0.172	TUB	0.172	Up
GSE62254	210558_at	0.00378	0.227	AKR1C4	0.227	Up
GSE62254	227542_at	0.00514	-0.143	SOCS6	0.143	Down
GSE62254	205229_s_at	0.00489	0.314	COCH	0.314	Up
GSE62254	238075_at	0.0052	-0.149	CHEK1	0.149	Down
GSE62254	219744_at	0.00357	-0.0357	FN3K	0.0357	Down
GSE62254	1555420_a_at	0.00457	0.143	KLF7	0.143	Up
GSE62254	242040_at	0.00393	0.0615	GCNT7	0.0615	Up
GSE62254	215294_s_at	0.0046	0.24	SMARCA1	0.24	Up
GSE62254	218225_at	0.00521	-0.0879	ECSIT	0.0879	Down
GSE62254	200785_s_at	0.00488	0.0778	LRP1	0.0778	Up
GSE62254	213130_at	0.00515	-0.0751	ZNF473	0.0751	Down
GSE62254	213192_at	0.00511	-0.0574	THAP3	0.0574	Down
GSE62254	223493_at	0.00522	-0.13	FBXO4	0.13	Down
GSE62254	212924_s_at	0.00429	-0.0657	LSM4	0.0657	Down
GSE62254	231918_s_at	0.00515	-0.185	GFM2	0.185	Down
GSE62254	229874_x_at	0.00513	0.143	LOC105376805	0.143	Up
GSE62254	212673_at	0.00509	-0.0753	METAP1	0.0753	Down
GSE62254	233547_x_at	0.00309	0.126	PDE1A	0.126	Up
GSE62254	214541_s_at	0.00382	-0.0512	QKI	0.0512	Down
GSE62254	220094_s_at	0.0051	0.146	MCUR1	0.146	Up
GSE62254	219110_at	0.00509	-0.0819	GAR1	0.0819	Down
GSE62254	201699_at	0.00475	-0.0526	PSMC6	0.0526	Down
GSE62254	206411_s_at	0.00438	-0.0579	ABL2	0.0579	Down
GSE62254	1560496_at	0.00483	-0.0485	MRGPRF-AS1	0.0485	Down
GSE62254	223215_s_at	0.00515	-0.0821	JKAMP	0.0821	Down
GSE62254	1570107_at	0.00392	-0.0526		0.0526	Down
GSE62254	212944_at	0.00522	-0.109	SLC5A3	0.109	Down
GSE62254	229427_at	0.005	0.173	SEMA5A	0.173	Up
GSE62254	1570135_at	0.00296	-0.0443	ZNF230	0.0443	Down
GSE62254	226653_at	0.00357	0.199	MARK1	0.199	Up
GSE62254	235615_at	0.00526	-0.101	PGGT1B	0.101	Down
GSE62254	206993_at	0.00466	-0.096	ATP5S	0.096	Down
GSE62254	227075_at	0.00535	-0.109	ELP3	0.109	Down
GSE62254	234945_at	0.00288	-0.0541	MTFR2	0.0541	Down
GSE62254	201037_at	0.00514	-0.146	PFKP	0.146	Down
GSE62254	1557950_at	0.00535	-0.0945	NEMF	0.0945	Down
GSE62254	204833_at	0.00536	-0.0861	ATG12	0.0861	Down
GSE62254	216305_s_at	0.00537	-0.122	GCFC2	0.122	Down
GSE62254	232296_s_at	0.00539	-0.145	GFM1	0.145	Down
GSE62254	226470_at	0.00521	0.151	GGT7	0.151	Up
GSE62254	235598_at	0.00528	-0.0702	SMAD2	0.0702	Down
GSE62254	204670_x_at	0.00467	-0.191	LOC100996809///HLA-DRB4///HLA-DRB1	0.191	Down
GSE62254	218311_at	0.00536	0.0955	MAP4K3	0.0955	Up
GSE62254	201664_at	0.00505	-0.0933	SMC4	0.0933	Down
GSE62254	218890_x_at	0.00524	-0.0847	MRPL35	0.0847	Down
GSE62254	213537_at	0.0054	-0.316	HLA-DPA1	0.316	Down
GSE62254	204980_at	0.00536	0.114	CLOCK	0.114	Up
GSE62254	217811_at	0.00504	-0.102	SELT	0.102	Down
GSE62254	1556854_at	0.00462	-0.0641	ATP11A-AS1	0.0641	Down
GSE62254	224820_at	0.00525	-0.118	COX20	0.118	Down
GSE62254	223472_at	0.00478	-0.107	WHSC1	0.107	Down
GSE62254	204557_s_at	0.00338	0.174	DZIP1	0.174	Up
GSE62254	215429_s_at	0.00539	-0.0832	ZNF428	0.0832	Down
GSE62254	204646_at	0.00535	-0.242	DPYD	0.242	Down
GSE62254	238614_x_at	0.00406	-0.114	ZNF430	0.114	Down
GSE62254	206483_at	0.00477	0.188	LRRC6	0.188	Up
GSE62254	205034_at	0.00541	-0.161	CCNE2	0.161	Down
GSE62254	1553695_a_at	0.00488	-0.0621	NLRX1	0.0621	Down
GSE62254	212432_at	0.00536	-0.0945	GRPEL1	0.0945	Down
GSE62254	208343_s_at	0.00392	0.24	NR5A2	0.24	Up
GSE62254	219716_at	0.00546	-0.119	APOL6	0.119	Down
GSE62254	228144_at	0.00493	0.227	ZNF300	0.227	Up
GSE62254	238076_at	0.00522	0.114	GATAD2B	0.114	Up
GSE62254	201703_s_at	0.0055	0.0967	PPP1R10	0.0967	Up
GSE62254	212616_at	0.00537	0.0958	CHD9	0.0958	Up
GSE62254	238820_at	0.00415	-0.0453	TMEM229B	0.0453	Down
GSE62254	235476_at	0.00412	-0.147	TRIM59///IFT80	0.147	Down
GSE62254	205624_at	0.0055	0.354	CPA3	0.354	Up
GSE62254	221483_s_at	0.005	-0.0689	ARPP19	0.0689	Down
GSE62254	205870_at	0.00548	0.143	BDKRB2	0.143	Up
GSE62254	229916_at	0.00303	0.111	ENPP6	0.111	Up
GSE62254	1552332_at	0.0055	-0.0746	TRIOBP	0.0746	Down
GSE62254	243675_at	0.00468	0.106		0.106	Up
GSE62254	242513_x_at	0.00297	-0.0627	USF3	0.0627	Down
GSE62254	200978_at	0.00483	-0.0724	MDH1	0.0724	Down
GSE62254	204129_at	0.00549	0.0483	BCL9	0.0483	Up
GSE62254	222102_at	0.00388	0.096	GSTA3	0.096	Up
GSE62254	238549_at	0.0055	0.191	CBFA2T2	0.191	Up
GSE62254	203184_at	0.00466	0.189	FBN2	0.189	Up
GSE62254	233538_s_at	0.00351	-0.0526	CYBB	0.0526	Down
GSE62254	207910_at	0.00308	-0.0419	SCGB1D1	0.0419	Down
GSE62254	215439_x_at	0.00521	0.0468		0.0468	Up
GSE62254	238597_at	0.00535	-0.124	ANKRD13C	0.124	Down
GSE62254	210740_s_at	0.00537	-0.0952	ITPK1	0.0952	Down
GSE62254	214231_s_at	0.00541	-0.148	VWA8	0.148	Down
GSE62254	225261_x_at	0.00545	0.126	NELFCD	0.126	Up
GSE62254	214690_at	0.0038	0.0992	TAF1B	0.0992	Up
GSE62254	203261_at	0.0053	-0.0992	DCTN6	0.0992	Down
GSE62254	204288_s_at	0.00518	0.203	SORBS2	0.203	Up
GSE62254	212339_at	0.00536	0.161	EPB41L1	0.161	Up
GSE62254	236234_at	0.00334	0.108	PDE1A	0.108	Up
GSE62254	205046_at	0.00558	-0.141	CENPE	0.141	Down
GSE62254	238969_at	0.00448	0.255	PQLC2L	0.255	Up
GSE62254	1553510_s_at	0.00562	-0.11	CNOT9	0.11	Down
GSE62254	223018_at	0.00555	-0.095	NOB1	0.095	Down
GSE62254	238581_at	0.00559	-0.307	GBP5	0.307	Down
GSE62254	231895_at	0.00561	-0.0882	SASS6	0.0882	Down
GSE62254	219843_at	0.00561	-0.116	IPP	0.116	Down
GSE62254	236107_at	0.00448	0.0803	UBE2Z	0.0803	Up
GSE62254	228646_at	0.00439	0.107	PPP1R1C	0.107	Up
GSE62254	204573_at	0.00564	0.154	CROT	0.154	Up
GSE62254	221760_at	0.00547	0.156	MAN1A1	0.156	Up
GSE62254	40665_at	0.00478	0.232	FMO3	0.232	Up
GSE62254	224796_at	0.00564	0.101	ASAP1	0.101	Up
GSE62254	1566166_at	0.00399	0.107		0.107	Up
GSE62254	225660_at	0.00518	0.212	SEMA6A	0.212	Up
GSE62254	218844_at	0.00564	0.133	ACSF2	0.133	Up
GSE62254	229180_at	0.00446	-0.0788	WWC1	0.0788	Down
GSE62254	244261_at	0.00537	0.191	IFNLR1	0.191	Up
GSE62254	218535_s_at	0.00564	-0.0786	RIOK2	0.0786	Down
GSE62254	228008_at	0.0052	0.213	ARID3A	0.213	Up
GSE62254	208351_s_at	0.0054	-0.101	MAPK1	0.101	Down
GSE62254	236856_x_at	0.00484	0.14		0.14	Up
GSE62254	200881_s_at	0.00488	-0.1	DNAJA1	0.1	Down
GSE62254	213947_s_at	0.00561	0.17	NUP210	0.17	Up
GSE62254	202441_at	0.00539	-0.0935	ERLIN1	0.0935	Down
GSE62254	212048_s_at	0.00542	-0.0922	YARS	0.0922	Down
GSE62254	201588_at	0.00505	-0.0844	TXNL1	0.0844	Down
GSE62254	1564078_at	0.00324	-0.0363	LOC101928551	0.0363	Down
GSE62254	240594_at	0.00429	0.163		0.163	Up
GSE62254	210559_s_at	0.00547	-0.151	CDK1	0.151	Down
GSE62254	203854_at	0.00571	0.262	CFI	0.262	Up
GSE62254	213592_at	0.00568	0.172	APLNR	0.172	Up
GSE62254	203468_at	0.00572	0.0916	CDK10	0.0916	Up
GSE62254	1553652_a_at	0.00312	-0.0507	C18orf54	0.0507	Down
GSE62254	242529_x_at	0.00385	0.0918		0.0918	Up
GSE62254	210463_x_at	0.00519	-0.0977	TRMT1	0.0977	Down
GSE62254	217905_at	0.00575	-0.0913	MCMBP	0.0913	Down
GSE62254	201935_s_at	0.00571	0.0826	EIF4G3	0.0826	Up
GSE62254	226694_at	0.00564	0.153	PALM2-AKAP2///AKAP2	0.153	Up
GSE62254	215360_at	0.00314	0.0284		0.0284	Up
GSE62254	221902_at	0.00565	0.0957	GPR153	0.0957	Up
GSE62254	226539_s_at	0.00463	-0.097	CFAP73	0.097	Down
GSE62254	231877_at	0.00445	-0.0978	TRMT10A	0.0978	Down
GSE62254	234950_s_at	0.00568	0.0774	RFWD2	0.0774	Up
GSE62254	222451_s_at	0.00579	0.131	ZDHHC9	0.131	Up
GSE62254	232204_at	0.0045	0.132	EBF1	0.132	Up
GSE62254	236402_at	0.00553	-0.139	BRAF	0.139	Down
GSE62254	227818_at	0.00568	-0.089	CEP85	0.089	Down
GSE62254	216333_x_at	0.00572	0.106	TNXB///TNXA	0.106	Up
GSE62254	1554493_s_at	0.00497	-0.127	THADA	0.127	Down
GSE62254	231026_at	0.00515	0.057	EFHC1	0.057	Up
GSE62254	239101_at	0.0055	0.0893	ITCH	0.0893	Up
GSE62254	1560869_a_at	0.00354	0.0786		0.0786	Up
GSE62254	226274_at	0.00583	0.129	CLCN5	0.129	Up
GSE62254	223476_s_at	0.00568	-0.0881	C12orf65	0.0881	Down
GSE62254	219902_at	0.00418	0.105	BHMT2	0.105	Up
GSE62254	214447_at	0.00471	-0.0827	ETS1	0.0827	Down
GSE62254	229910_at	0.00571	0.129	SHE	0.129	Up
GSE62254	220194_at	0.00323	0.0535	NSUN7	0.0535	Up
GSE62254	219861_at	0.00583	-0.0657	DNAJC17	0.0657	Down
GSE62254	209965_s_at	0.00535	-0.0785	RAD51D	0.0785	Down
GSE62254	211269_s_at	0.00486	-0.128	IL2RA	0.128	Down
GSE62254	1405_i_at	0.00574	-0.25	CCL5	0.25	Down
GSE62254	232155_at	0.00571	-0.19	RNF213	0.19	Down
GSE62254	223125_s_at	0.00587	0.197	C1orf21	0.197	Up
GSE62254	205559_s_at	0.00589	0.216	PCSK5	0.216	Up
GSE62254	203148_s_at	0.00573	-0.107	TRIM14	0.107	Down
GSE62254	224932_at	0.00573	-0.127	CHCHD10	0.127	Down
GSE62254	208828_at	0.00579	-0.0967	POLE3	0.0967	Down
GSE62254	217991_x_at	0.00513	0.0807	SSBP3	0.0807	Up
GSE62254	213103_at	0.00587	0.131	STARD13	0.131	Up
GSE62254	226002_at	0.00564	0.12	GAB1	0.12	Up
GSE62254	203138_at	0.00564	-0.0822	HAT1	0.0822	Down
GSE62254	235613_at	0.00443	0.158		0.158	Up
GSE62254	214922_at	0.00407	-0.0594	ZNF484	0.0594	Down
GSE62254	219306_at	0.00595	-0.155	KIF15	0.155	Down
GSE62254	225917_at	0.00588	0.0981	ATF7IP	0.0981	Up
GSE62254	205953_at	0.00575	-0.0716	LRIG2	0.0716	Down
GSE62254	230767_at	0.00409	0.0538		0.0538	Up
GSE62254	223244_s_at	0.00521	-0.0661	NDUFA12	0.0661	Down
GSE62254	220221_at	0.00469	0.14	VPS13D	0.14	Up
GSE62254	215747_s_at	0.00583	-0.099	RCC1	0.099	Down
GSE62254	242064_at	0.00477	0.137	SDK2	0.137	Up
GSE62254	213324_at	0.006	0.0973	SRC	0.0973	Up
GSE62254	236347_at	0.006	-0.101	MMAA	0.101	Down
GSE62254	213452_at	0.006	-0.0948	ZNF184	0.0948	Down
GSE62254	235408_x_at	0.00552	0.175	ZNF117	0.175	Up
GSE62254	64900_at	0.00591	-0.171	TMEM231	0.171	Down
GSE62254	205542_at	0.00575	-0.212	STEAP1	0.212	Down
GSE62254	232423_at	0.00553	0.14	ARSD	0.14	Up
GSE62254	227562_at	0.00604	-0.123	LAMTOR3	0.123	Down
GSE62254	241375_at	0.00537	-0.1	USP38	0.1	Down
GSE62254	212638_s_at	0.00585	0.126	WWP1	0.126	Up
GSE62254	204671_s_at	0.0046	0.24	ANKRD6	0.24	Up
GSE62254	201382_at	0.00513	-0.0666	CACYBP	0.0666	Down
GSE62254	1555183_at	0.00379	-0.0596	TERF2	0.0596	Down
GSE62254	228885_at	0.00403	0.231	MAMDC2	0.231	Up
GSE62254	206379_at	0.00437	-0.0449	EYA3	0.0449	Down
GSE62254	244290_at	0.00402	0.141		0.141	Up
GSE62254	218026_at	0.00556	0.0922	COA3	0.0922	Up
GSE62254	217015_at	0.00336	-0.0412		0.0412	Down
GSE62254	228155_at	0.00595	0.204	FAM213A	0.204	Up
GSE62254	211150_s_at	0.0061	-0.132	DLAT	0.132	Down
GSE62254	225393_at	0.00561	0.0623	GATAD2B	0.0623	Up
GSE62254	228499_at	0.00604	-0.109	PFKFB4	0.109	Down
GSE62254	1553808_a_at	0.00422	0.144	NKX2-3	0.144	Up
GSE62254	214154_s_at	0.00468	-0.0807	PKP2	0.0807	Down
GSE62254	1552542_s_at	0.00431	-0.154	TAGAP	0.154	Down
GSE62254	205795_at	0.00463	0.204	NRXN3	0.204	Up
GSE62254	227896_at	0.00615	-0.153	BCCIP	0.153	Down
GSE62254	207131_x_at	0.00606	0.18	GGT2///GGTLC1///GGTLC2///GGT1	0.18	Up
GSE62254	220800_s_at	0.00606	-0.116	TMOD3	0.116	Down
GSE62254	212657_s_at	0.00592	-0.252	IL1RN	0.252	Down
GSE62254	200961_at	0.00567	0.113	SEPHS2	0.113	Up
GSE62254	211242_x_at	0.0046	-0.0585	KIR2DL4	0.0585	Down
GSE62254	219766_at	0.00608	-0.0622	B9D2	0.0622	Down
GSE62254	1555829_at	0.00462	-0.164	ESYT2	0.164	Down
GSE62254	213294_at	0.00606	-0.0962	EIF2AK2	0.0962	Down
GSE62254	238576_at	0.00596	-0.163	MOCOS	0.163	Down
GSE62254	208450_at	0.00621	0.371	LGALS2	0.371	Up
GSE62254	215177_s_at	0.00611	-0.186	ITGA6	0.186	Down
GSE62254	222157_s_at	0.00615	-0.101	WDR48	0.101	Down
GSE62254	204132_s_at	0.00615	0.113	FOXO3B///FOXO3	0.113	Up
GSE62254	230435_at	0.00565	0.133	FAM228B	0.133	Up
GSE62254	206583_at	0.00615	0.139	KRBOX4	0.139	Up
GSE62254	226264_at	0.00615	0.103	SUSD1	0.103	Up
GSE62254	220658_s_at	0.00624	-0.188	ARNTL2	0.188	Down
